test Subject,Train Accuracy,Train Loss,Accuracy,FOG Spec,FOG Sen,FOG F1,PreFOG Spec,PreFOG Sen,PreFOG F1
S01,84.765,0.358,88.81,97.161,17.561,20.991,96.055,8.696,4.04
S02,87.037,0.335,86.285,98.297,26.997,38.966,96.836,2.083,1.46
S03,85.777,0.345,78.797,97.341,16.696,25.772,94.54,14.286,9.655
S05,87.733,0.312,74.299,99.535,3.583,6.814,98.912,3.03,4.444
S06,85.217,0.343,90.885,99.451,3.042,5.556,98.891,0,0
S07,85.402,0.353,93.01,99.869,1.829,3.509,99.527,4.167,6.154
S08,86.17,0.337,69.271,99.206,2.233,4.276,94.695,10.714,5.405
S09,84.941,0.365,81.588,99.796,2.957,5.684,97.428,9.259,6.803
,,,,,,,,,
,85.88025,0.3435,82.868125,98.832,9.36225,13.946,97.1105,6.529375,4.745125
