test Subject,Train Accuracy,Train Loss,Accuracy,FOG Spec,FOG Sen,FOG F1,PreFOG Spec,PreFOG Sen,PreFOG F1
S01,91.061,0.256,77.909,81.854,60.488,25.28,97.415,2.174,1.389
S02,90.699,0.26,87.133,95.783,41.873,49.111,99.209,4.167,5.556
S03,91.321,0.248,81.09,90.011,49.217,49.824,99.141,0,0
S05,91.96,0.232,65.054,82.548,17.387,19.678,99.951,1.515,2.941
S06,91.27,0.25,90.617,96.671,30.798,36.242,99.311,0,0
S07,90.718,0.261,89.469,94.894,18.902,17.664,99.432,6.25,8.696
S08,91.645,0.244,61.654,81.2,19.603,22.734,96.154,3.571,2.299
S09,91.095,0.256,83.429,98.535,10.536,17.785,99.883,0,0
,,,,,,,,,
,,,79.544375,90.187,31.1005,29.78975,98.812,2.209625,2.610125
