time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action,name
620000,101,1009,306,-163,1000,282,116,980,-58,0,S08
620015,60,1009,316,-290,925,272,145,1028,-87,0,S08
620031,40,1000,297,-318,898,242,135,1038,-126,0,S08
620046,60,1019,287,-254,962,202,135,1019,-87,0,S08
620062,90,980,316,-236,925,242,67,971,-58,0,S08
620078,80,990,316,-263,879,252,58,1000,-97,0,S08
620093,80,1000,326,-263,925,252,19,980,-106,0,S08
620109,80,980,306,-245,962,222,19,971,-145,0,S08
620125,90,1000,297,-236,935,202,-19,990,-77,0,S08
620140,80,990,297,-254,944,212,58,1019,-135,0,S08
620156,70,980,336,-272,916,222,67,1028,-87,0,S08
620171,70,1000,326,-263,907,191,97,1009,-87,0,S08
620187,90,980,297,-227,972,232,155,1009,-106,0,S08
620203,80,1029,326,-172,981,303,116,990,-58,0,S08
620218,70,1000,336,-318,925,242,145,1028,-87,0,S08
620234,30,1009,297,-281,879,202,194,1019,-116,0,S08
620250,80,1000,297,-236,990,212,135,1019,-87,0,S08
620265,111,970,316,-227,935,232,106,990,-67,0,S08
620281,70,980,336,-254,879,252,67,980,-116,0,S08
620296,80,970,316,-245,916,242,29,990,-165,0,S08
620312,40,1009,316,-245,972,232,0,980,-135,0,S08
620328,80,1009,297,-254,953,202,-9,990,-87,0,S08
620343,90,990,306,-272,925,222,58,1028,-135,0,S08
620359,90,970,297,-272,935,202,29,1038,-67,0,S08
620375,90,990,287,-209,907,222,184,990,-67,0,S08
620390,101,980,326,-145,1027,242,116,1000,-48,0,S08
620406,80,1009,316,-245,925,292,174,1009,-38,0,S08
620421,80,990,306,-300,888,222,174,1038,-145,0,S08
620437,70,1000,297,-236,953,181,203,1057,-155,0,S08
620453,90,1029,297,-218,972,202,97,1000,-48,0,S08
620468,80,980,326,-227,870,252,116,990,-135,0,S08
620484,50,980,326,-309,879,252,38,990,-116,0,S08
620500,60,990,306,-281,944,242,48,971,-145,0,S08
620515,60,1009,306,-236,962,232,-9,990,-126,0,S08
620531,90,1009,316,-236,953,222,0,1000,-87,0,S08
620546,70,1000,297,-218,916,202,29,1047,-106,0,S08
620562,70,990,316,-245,935,212,126,1019,-97,0,S08
